央视,#genre#
北京卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225692/10000100000000060000000000390475_0.smil
北京卫视高清,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000
深圳卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001342/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
深圳卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225853/10000100000000060000000002736640_0.smil
深圳卫视高清,https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000
深圳卫视高清,https://live.goodiptv.club/api/cqyx.php?id=shenzhenHD
广东卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001337/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
广东卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225686/10000100000000060000000000390277_0.smil
广东卫视高清,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000
广东卫视高清,https://live.goodiptv.club/api/cqyx.php?id=guangdongHD
安徽卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001346/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
安徽卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225685/10000100000000060000000000390210_0.smil
安徽卫视高清,https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000
东南卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225774/10000100000000060000000001423288_0.smil
东南卫视高清,https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000
东南卫视高清,https://live.goodiptv.club/api/cqyx.php?id=dongnanHD
河北卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225714/10000100000000060000000000401011_0.smil
河北卫视高清,https://live.goodiptv.club/api/bestv.php?id=hbwshd8m/8000000
黑龙江卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001338/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
黑龙江卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225694/10000100000000060000000000390477_0.smil
黑龙江卫视高清,https://live.goodiptv.club/api/bestv.php?id=hljwshd8m/8000000
湖北卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001347/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
湖北卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225691/10000100000000060000000000390400_0.smil
江西卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225716/10000100000000060000000000401043_0.smil
江西卫视高清,https://live.goodiptv.club/api/bestv.php?id=jxws8m/8000000
辽宁卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001340/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
辽宁卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225684/10000100000000060000000000390192_0.smil
辽宁卫视高清,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000
辽宁卫视高清,https://live.goodiptv.club/api/cqyx.php?id=liaoningHD
海南卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225711/10000100000000060000000000400978_0.smil
海南卫视高清,https://live.goodiptv.club/api/bestv.php?id=hainanwshd8m/8000000
山东卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001341/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
山东卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225687/10000100000000060000000000390278_0.smil
山东卫视高清,https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000
四川卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225715/10000100000000060000000000401042_0.smil
四川卫视高清,https://live.goodiptv.club/api/bestv.php?id=scwshd/8000000
四川卫视高清,https://live.goodiptv.club/api/cqyx.php?id=sichuanHD
天津卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001343/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
天津卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225690/10000100000000060000000000390378_0.smil
天津卫视高清,https://live.goodiptv.club/api/bestv.php?id=tjwshd8m/8000000
天津卫视高清,https://live.goodiptv.club/api/cqyx.php?id=tianjinHD
